table_name,comment,Arabic comment,English comment
AMS_MNT_CNTRCT_PRC,ÊæÒíÚ ÇáãÈÇáÛ - ÊÝÕíáí,توزيع المبالغ - تفصيلي,Distribution of sums - detailed
AMS_MNT_CNTRCT_SRV,ÎÏãÇÊ ÇáÚÞæÏ - ÊÝÕíáí,خدمات العقود - تفصيلي,Contract services - detailed
AMS_MNT_CNTRCT_TAX_MOVMNT,,,
AMS_MNT_EXEC_DTL,,,
AMS_MNT_EXEC_MST,,,
AMS_MNT_JOB_CHK,ÌÏæá ÇáÝÍÕ ÇáäåÇÆí,جدول الفحص النهائي,Final examination schedule
AMS_MNT_JOB_DLVR,ÌÏæá ÊÓáíã ÇáÇÕá ÈÚÏ ÇáÕíÇäÉ,جدول تسليم الاصل بعد الصيانة,The original delivery schedule after maintenance
AMS_MNT_JOB_EQPMNT,ÌÏæá ÇáãÚÏÇÊ,جدول المعدات,Equipment schedule
AMS_MNT_JOB_LBR,ÌÏæá ÈíÇäÇÊ ÚãÇá ÇáÕíÇäÉ,جدول بيانات عمال الصيانة,Maintenance workers' company
AMS_MNT_JOB_ORDR,ÌÏæá ÊäÝíÐ ÃãÑ ÇáÕíÇäÉ,جدول تنفيذ أمر الصيانة,Maintenance order implementation schedule
AMS_MNT_JOB_PRBLM,ÌÏæá ÇáãÔÇßá Ýí ÇãÑ ÇáÕíÇäÉ,جدول المشاكل في امر الصيانة,Schedule of problems in the maintenance order
AMS_MNT_JOB_PRT,ÌÏæá ÞØÚ ÛíÇÑ ÃãÑ ÇáÕíÇäÉ,جدول قطع غيار أمر الصيانة,Maintenance spare parts schedule
AMS_MNT_JOB_SRV,ÌÏæá ÇáÎÏãÇÊ ÊÍÊ ÇáÊäÝíÐ áÕíÇäÉ,جدول الخدمات تحت التنفيذ لصيانة,Schedule under implementation for maintenance
AMS_MNT_REQ_DTL,ÌÏæá ØáÈÇÊ ÇáÕíÇäÉ ÊÝÕíáí,جدول طلبات الصيانة تفصيلي,Display schedule for detailed
AMS_MNT_REQ_MST,ÌÏæá ØáÈÇÊ ÇáÕíÇäÉ ÇáÑÆíÓí,جدول طلبات الصيانة الرئيسي,Main maintenance request schedule
AMS_MNT_TAX_MOVMNT,,,
AMS_MSUR_CNVRT,ÌÏæá ÇáÊÍæíá Èíä ÇáãÞÇÓÇÊ,جدول التحويل بين المقاسات,The transfer schedule between sizes
AMS_MSUR_UNT,ÌÏæá æÍÏÇÊ ÇáÞíÇÓ,جدول وحدات القياس,Schedule of units of measurement
AMS_ODMTR_HST,,,
AMS_ODMTR_READ_DTL,ÌÏæá ÇÏÎÇá ÞÑÇÁÇÊ ÇáÚÏÇÏÇÊ- ÊÍáíá,جدول ادخال قراءات العدادات- تحليل,Introduction Reading Table- Analysis
AMS_ODMTR_READ_MST,ÌÏæá ÇÏÎÇá ÞÑÇÁÇÊ ÇáÚÏÇÏÇÊ ÑÆíÓí,جدول ادخال قراءات العدادات رئيسي,Table of entry for meter readings
AMS_PARA,,,
AMS_PLN_AST,,,
AMS_PLN_DTL,ÌÏæá ÎØØ ÇáÕíÇäÉ ÇáÊÝÕíáí,جدول خطط الصيانة التفصيلي,Detailed maintenance schedule
AMS_PLN_LBR,ÌÏæá ÚãÇá ÎØØ ÇáÕíÇäÉ,جدول عمال خطط الصيانة,Maintenance plans workers' schedule
AMS_PLN_MST,ÌÏæá ÎØØ ÇáÕíÇäÉ,جدول خطط الصيانة,Maintenance schedule schedule
AMS_PLN_PRT,ÌÏæá ÞØÚ ÇáÛíÇÑ ÎØÉ ÇáÕíÇäÉ,جدول قطع الغيار خطة الصيانة,Spare parts schedule for maintenance plan
AMS_PLN_SRV,,,
AMS_PLN_UPD,ÌÏæá ÊÚÏíá ÎØÉ ÇáÕíÇäÉ,جدول تعديل خطة الصيانة,Maintenance plan modification schedule
AMS_REQ_PRT_DTL,ØáÈ ÞØÚ ÛíÇÑ ÊÝÕíáí,طلب قطع غيار تفصيلي,Request a detailed spare parts
AMS_REQ_PRT_MST,ØáÈ ÞØÚ ÛíÇÑ ÑÆíÓí,طلب قطع غيار رئيسي,Main spare parts request
AMS_SPR_PRT_CHNG,ÌÏæá ÊÛííÑ ÞØÚÉ ÇáÛíÇÑ,جدول تغيير قطعة الغيار,Schedule changing spare part
AMS_SPR_PRT_RCV,ÌÏæá ÞØÚ ÇáÛíÇÑ ÇáÊí áåÇ ÚãÑ,جدول قطع الغيار التي لها عمر,Schedule of spare parts that have a lifetime
AMS_SPR_PRT_RNW,ÌÏæá ÊÌÏíÏ ÞØÚ ÇáÛíÇÑ,جدول تجديد قطع الغيار,Parts renewal schedule
AMS_SRV,ÌÏæá ÎÏãÇÊ ÇáÕíÇäÉ,جدول خدمات الصيانة,Maintenance services schedule
AMS_SRV_CNTR,ÌÏæá ãÑßÒ ÇáÎÏãÇÊ,جدول مركز الخدمات,Service Center schedule
AMS_SRV_CNTR_CONN_SRV,ÌÏæá ÇáÎÏãÇÊ ÇáãÑÊÈØÉ ÈÇáãÑßÒ,جدول الخدمات المرتبطة بالمركز,Schedule associated with the center
AMS_SRV_CNTR_LBR,ÌÏæá ÇáÚÇãáíä ÈãÑßÒ ÇáÎÏãÇÊ,جدول العاملين بمركز الخدمات,Schedule of employees at the Services Center
AMS_SRV_CNTR_MTRL,ÌÏæá ãÚÏÇÊ ãÑßÒ ÇáÎÏãÇÊ,جدول معدات مركز الخدمات,Service Center Equipment Schedule
AMS_SRV_CONN_AST,ÌÏæá ÚÏÏ ÓÇÚÇÊ ÇáÎÏãÉ ááÃÕá,جدول عدد ساعات الخدمة للأصل,Schedule of the number of hours of service for the original
AMS_SRV_CONN_AST_GRP,,,
AMS_SRV_CONN_SPR,ÞØÚ ÇáÛíÇÑ ÇáãÑÊÈØå ÈÇáÎÏãÉ,قطع الغيار المرتبطه بالخدمة,Spare parts associated with the service
AMS_SRV_NTF,ÌÏæá ÊäÈíåÇÊ ÇáÕíÇäÉ ÇáÏæÑíÉ,جدول تنبيهات الصيانة الدورية,Periodic maintenance alerts schedule
AMS_SRV_NTF_AST,ÌÏæá ÊäÈíåÇÊ ÇáÕíÇäÉ - ÇáÃÕæá,جدول تنبيهات الصيانة - الأصول,Maintenance alerts schedule - assets
AMS_SRV_NTF_PRT,ÌÏæá ÊäÈíåÇÊ ÇáÕíÇäÉ - ÞØÚ ÇáÛíÇÑ,جدول تنبيهات الصيانة - قطع الغيار,Maintenance alert schedule - spare parts
AMS_SRV_NTF_SRV,ÌÏæá ÊäÈíåÇÊ ÇáÕíÇäÉ - ÇáÎÏãÇÊ,جدول تنبيهات الصيانة - الخدمات,Maintenance alert schedule - services
AMS_TAX_SRV,,,
AMS_TNK_RFLNG,ÌÏæá ÊÛÐíÉ ÇáÎÒÇäÇÊ ÈÇáæÞæÏ,جدول تغذية الخزانات بالوقود,Fuel feeding schedule
APEX_IR_PRMTR,,,
APEX_IR_SLCT,ÌÏæá ÇáÊÞÇÑíÑ ÇáÊÝÇÚáíÉ,جدول التقارير التفاعلية,Interactive reports schedule
APEX_PARA,ãÊÛíÑÇÊ ÇáÃÈßÓ,متغيرات الأبكس,Apix variables
APEX_TOKEN,ÌÏæá ÇáÊæßäÒ ÇáÎÇÕÉ ÈÊÓÌíá ÇáÏÎæá,جدول التوكنز الخاصة بتسجيل الدخول,Tottenz schedule for login
API_TESTER,,,
APS_BILL_FLLWUP_MOVMNT,ãÑÇÍá ãØÇáÈÉ ÇáÝæÇÊíÑ,مراحل مطالبة الفواتير,The stages of the claim of bills
APS_FLLW_TRNS_MST,,,
APS_FRGHT_ITMS_EXCL,,,
APS_NET_SALES_ITM_CMPNNT_TMP,,,
APS_PO_ITMS_EXCL,,,
APS_PO_ITMS_EXCL_TMP,,,
APS_RQST_AUTO_TMP,,,
APS_RQST_ITM_TMP,,,
APS_RT_PRCHS_RSN,,,
APX_FVRT_SCR,Favoriate Screen,Favoriate Screen,Favorite Screen
APX_SCR,ÔÇÔÇÊ äÙÇã ÇáæíÈ,شاشات نظام الويب,Web system screens
APX_SCR_PRV,ÕáÇÍíÇÊ ÇáãÓÊÎÏãíä Úáì ÇáÇÈßÓ,صلاحيات المستخدمين على الابكس,User's powers on Apix
AQ$_DOC_SYS_ID_Q_TBL_G,,,
AQ$_DOC_SYS_ID_Q_TBL_H,,,
AQ$_DOC_SYS_ID_Q_TBL_I,,,
AQ$_DOC_SYS_ID_Q_TBL_L,,,
AQ$_DOC_SYS_ID_Q_TBL_S,,,
AQ$_DOC_SYS_ID_Q_TBL_T,,,
ARCHV_PARA,Archive Parameter Setup,Archive Parameter Setup,Archive Parameter SETUP
ARS_ANSWR_QUESTNNR_DTL,äãÇÐÌ ÇÌÇÈÉ ÇáÇÓÊÈíÇä ÊÍáíáí,نماذج اجابة الاستبيان تحليلي,Analytical questionnaire answer models
ARS_ANSWR_QUESTNNR_MST,äãÇÐÌ ÇÌÇÈÉ ÇáÇÓÊÈíÇä ÑÆíÓí,نماذج اجابة الاستبيان رئيسي,Modern questionnaire answer models
ARS_API_EXTRNL_TMP,,,
ARS_AUTO_SLS_ORDR_DTL,,,
ARS_AUTO_SLS_ORDR_MST,,,
ARS_BILL_CRDT_CRD,ÍÑßÉ ÈØÇÆÞ ÇáÇÆÊãÇä ááãÈíÚÇÊ,حركة بطائق الائتمان للمبيعات,Credit cards movement for sales
ARS_BILL_CRDT_CRD_BR,,,
ARS_BILL_DOC_REF,ÇáæËÇÆÞ ÇáãÑÌÚíÉ   ááãÓÊäÏÇÊ,الوثائق المرجعية   للمستندات,Documentation documents for documents
ARS_BILL_FLLWUP_MOVMNT,ãÑÇÍá ãÊÇÈÚÉ ÝæÇÊíÑ ÇáãÈíÚÇÊ,مراحل متابعة فواتير المبيعات,The stages of follow -up of sales bills
ARS_CALC_CMPNS_PERCNT_QTY_TMP,,,
ARS_CALC_CMPNS_QTY_TMP,,,
ARS_CODE_DTL,ÇáÊÑãíÒÇÊ ÇáÚÇãÉ áäÙÇã ÇáÚãáÇÁ - ÊÍáíáí,الترميزات العامة لنظام العملاء - تحليلي,The general codes of the customer system - analytical
ARS_CODE_MST,ÇáÊÑãíÒÇÊ ÇáÚÇãÉ áäÙÇã ÇáÚãáÇÁ - ãÇÓÊÑ,الترميزات العامة لنظام العملاء - ماستر,General Devices of Customer System - Master
ARS_CONN_CST_DRVR,,,
ARS_CSTMR_BANK,ÈíÇäÇÊ Èäæß ÇáÚãáÇÁ,بيانات بنوك العملاء,Customer bank data
ARS_CSTMR_CHNG_DTL,ÌÏæá ãäÇÞáÉ ÇáÚãáÇÁ   - ÊÍáíáí,جدول مناقلة العملاء   - تحليلي,Customer transmission table - analytical
ARS_CSTMR_CHNG_MST,ÌÏæá ãäÇÞáÉ ÇáÚãáÇÁ   - ÑÆíÓí,جدول مناقلة العملاء   - رئيسي,Customer transmission table - main
ARS_CSTMR_ITM,,,
ARS_CST_LGN_HSTRY,ÊÓÌíá ÏÎæá æÎÑæÌ ÇáÚãáÇÁ Úáì äÙÇã ÇáæíÈ ÍÞ ÇáÚãáÇÁ,تسجيل دخول وخروج العملاء على نظام الويب حق العملاء,Customer entry and exit on the web system is the right of customers
ARS_CST_TRNS_GPS,GPS ááÚãáíÇÊ ÇáÊí Úáì ÇáÚãáÇÁ,GPS للعمليات التي على العملاء,GPS for operations on customers
ARS_DLVRY_GDS_DTL,,,
ARS_DLVRY_GDS_MST,,,
ARS_EXP_BTCH_TMP,,,
ARS_FDA_ITM_LST_DTL_TMP,,,
ARS_FDA_ITM_LST_TMP,,,
ARS_INSTLMNT_TYP_DTL,,,
ARS_INSTLMNT_TYP_MST,,,
ARS_INTRMDT_CMPNY,äæÚ ÇáÈäÏ,نوع البند,Item type
ARS_ITM_CPN_TMP,,,
ARS_KPI_NET_SALES_VW_YR,,,
ARS_LOAD_AMT_ITM_DTL,ãÈÇáÛ ÇáÊÍãá áãÔÊÑßí ÇáÊÃãíä ÇáÕÍí,مبالغ التحمل لمشتركي التأمين الصحي,The amounts of endurance for health insurance subscribers
ARS_LOCTN_GEO_SMAN,,,
ARS_MRKTING_AGNCY,,,
ARS_MSG_CSS_OLD,,,
ARS_NEWS_CSS,ÈíÇäÇÊ ÇáÇÚáÇäÇÊ,بيانات الاعلانات,Advertising data
ARS_NEWS_CSS11,,,
ARS_NEWS_CSS22,,,
ARS_PARA_CSS,,,
ARS_PARA_CSS_OLD,ãÊÛíÑÇÊ äÙÇã ÇáÎÏãÉ ÇáÐÇÊíÉ ááÚãáÇÁ,متغيرات نظام الخدمة الذاتية للعملاء,Variables of the self -service system for customers
ARS_PRM_FREE_QTY_TMP,,,
ARS_QT_PRM_EXPDT_PYMNT_TMP,,,
ARS_QUESTNNR_DTL,ÇáÇÓÊÈíÇä ÊÍáíáí,الاستبيان تحليلي,Analytical questionnaire
ARS_QUESTNNR_MST,ÇáÇÓÊÈíÇä - ÑÆíÓí,الاستبيان - رئيسي,Questionnaire - main
ARS_QUESTNNR_SUB_DTL,ÇáÇÓÊÈíÇä ÊÍáíáí-ÊÍáíáí,الاستبيان تحليلي-تحليلي,Analytically analytical questionnaire
ARS_QUESTN_QUESTNNR,ÊÑãíÒ  ÚäÇÕÑ ÇÓÊÈíÇä ÇáÇÕäÇÝ,ترميز  عناصر استبيان الاصناف,Coding the elements of the category questionnaire
ARS_RET_BILL_AUTO_TMP,,,
ARS_RQ_EXD_LMT,ØáÈÇÊ ÊÌÇæÒ ÍÏæÏ ÇáãÈíÚÇÊ,طلبات تجاوز حدود المبيعات,Requests exceeding sales limits
ARS_SHW_INFRMTN_TRNS_OLD,,,
ARS_SHW_ITM_INFO,,,
ARS_SLS_DLVRY_PRMT_DTL,ÅÐä ÊÓáíã ãÈíÚÇÊ - ÊÍáíáí,إذن تسليم مبيعات - تحليلي,So sales delivery - analytical
ARS_SLS_DLVRY_PRMT_MST,ÅÐä ÊÓáíã ãÈíÚÇÊ - ÑÆíÓí,إذن تسليم مبيعات - رئيسي,So sales delivery - main
AR_MSG_CSS,,,
ASD,,,
ASDASD,,,
ASSEMBLE_KIT_ITEMS,ÃãÑ ÊÑßíÈ ÕäÝ ãÑßÈ -ÑÆíÓí,أمر تركيب صنف مركب -رئيسي,Organized -main class installation
ASSEMBLE_KIT_ITEMS_DET,ÃãÑ ÊÑßíÈ ÕäÝ ãÑßÈ - ÊÍáíáí,أمر تركيب صنف مركب - تحليلي,Organized - analytical class installation order
ASSEMBLE_KIT_ITEMS_TST,,,
ATTCH_WHATSAPP_BOT,,,
AUD,ÊåíÆÉ ÇáÑÞÇÈÉ,تهيئة الرقابة,Control preparation
AUTO_ORDER_DETAIL,,,
AUTO_SALES_ORDER,,,
BACKUP,ÇáäÓÎ ÇáÅÍÊíÇØíÉ,النسخ الإحتياطية,Reserve copies
BARCODE_LABELS_COUNTER,,,
BAS,,,
BAS2,,,
BASE64,,,
BGT_APRV_RQ_FNC_DTL,ØáÈ ÇáÊÕÏíÞ ÇáãÇáí -ÊÍáíáí,طلب التصديق المالي -تحليلي,Financial ratification request -analysis
BGT_APRV_RQ_FNC_MST,,,
BIN_DETAILS,ÈíÇäÇÊ ÇáÑÝæÝ,بيانات الرفوف,Shelves data
BIN_DETAILS_CPY,,,
BOM_INSRT_ERR,,,
BRN_MANUAL_ATT_CONTROL,,,
CASH_AT_BANK,ÈíÇäÇÊ ÇáÈäæß,بيانات البنوك,Bank data
CASH_INCOME,,,
CASH_IN_HAND,ÈíÇÊÇÊ ÇáÕäÇÏíÞ,بياتات الصناديق,Fund data
CC_CODE_ACTIONS,,,
CC_GROUPING,ãÌãæÚÉ ãÑÇßÒ ÇáÊßáÝÉ,مجموعة مراكز التكلفة,Cost centers
CHCK_CP_QTY,,,
CHK_GNR_DDC_TBL_20220818,,,
CITIES,,,
CLOB_TST,,,
CMPNS_QTY,,,
CMPT_CMPNS_QTY_TMP,,,
CMS_CASE,,,
CMS_CASE_HNLING_HSTRY,,,
CMS_CASE_REQ,,,
CMS_CMPLXITY,,,
CMS_CORR_ACTION,,,
CMS_ESCALATION,,,
CMS_ESCL_SETUP,,,
CMS_FAQS,,,
CMS_FRWD_TYPE,,,
CMS_HNDLING,,,
CMS_ITM_AGNT_SETUP,,,
CMS_PRIORITY,,,
CMS_ROOTCAUSE,,,
CMS_SEVERITY,,,
CMS_STATUS,,,
CMS_SUBCASE,,,
CMS_TEMPLATING,,,
CMS_TICKET_TYPE,,,
CMS_TRACK,,,
CNTRY,ÈíÇäÇÊ ÇáÏæá,بيانات الدول,State data
CODE_V,,,
COLLERCTOR,ÈíÇäÇÊ ÇáãÍÕáíä,بيانات المحصلين,Valley data
COLLERCTOR_TMP_K,,,
COLUMN_LOG_,,,
IS,,,
COMPOUND_ITEMS,ÇáÃÕäÇÝ ÇáãÑßÈÉ,الأصناف المركبة,Compound varieties
COMP_BK_ITM,,,
COSTING_TYPES,ÊÑãíÒ ÃäæÇÚ ÇáÊßÇáíÝ,ترميز أنواع التكاليف,Costing types of costs
COST_CENTERS,ÈíÇäÇÊ ãÑÇßÒ ÇáÊßáÝÉ,بيانات مراكز التكلفة,Cost centers data
COST_CENTER_TYPES,ÃäæÇÚ ãÑÇßÒ ÇáÊßáÝÉ,أنواع مراكز التكلفة,Types of cost centers
COST_DETAIL,ÊßÇáíÝ ÇáãÔÊÑíÇÊ - ÊÍáíáí,تكاليف المشتريات - تحليلي,Procurement costs - analytical
COST_MASTER,ÊßÇáíÝ ÇáãÔÊÑíÇÊ - ÑÆíÓí,تكاليف المشتريات - رئيسي,Procurement costs - major
COUPON_PRINT_BARCODE_TMP,,,
CREDIT_CARD_TYPES,ÃäæÇÚ ÈØÇÆÞ ÇáÅÆÊãÇä,أنواع بطائق الإئتمان,Types of credit cards
CRM_ACCOUNT,,,
CRM_ACTIVITY,,,
CRM_ACTIVITY_DTL,,,
CRM_AREA,,,
CRM_CALL,,,
CRM_CASE,,,
CRM_CITIES,,,
CRM_CMPAGN,,,
CRM_CNTRY,,,
CRM_CODE_DTL,,,
CRM_CODE_MST,,,
CRM_CONTACT,,,
CRM_CONTRACT,,,
CRM_EVENTS,,,
CRM_EXPENSES,,,
CRM_EXP_CAT,,,
CRM_EXP_SUB_CAT,,,
CRM_FEED,,,
CRM_FLW,,,
CRM_FOLLOW_UP,,,
CRM_INVOICE,,,
CRM_LABELS,,,
CRM_LEAD,,,
CRM_OPRNTY,,,
CRM_PARTICIPANT,,,
CRM_PAY_DTL,,,
CRM_PERDIEM,,,
CRM_PRDCT_TYPE,,,
CRM_PRD_SERVICE,,,
CRM_PRIVILEGE,,,
CRM_PRIV_PRODUCTS,,,
CRM_PRODUCTS,,,
CRM_PRODUCTS_GROUP,,,
CRM_PRODUCT_HISTORY,,,
CRM_PRV,,,
CRM_PTNCL,,,
CRM_PURCH_ORDER,,,
CRM_QUOTES,,,
CRM_QUOTES_DTL,,,
CRM_ROLE,,,
CRM_SALES_ORDER,,,
CRM_SCR,,,
CRM_SCR_PRV,,,
CRM_SGMNT,,,
CRM_STATES,,,
CRM_TIME_ZONE,,,
CRM_TSK,,,
CRM_USR,,,
CRM_USR_IMG,,,
CRM_USR_NOTE,,,
CRM_ZONE,,,
CR_DESC,,,
CSS_ITM_NEW_DTL,ÇáÇÕäÇÝ ÇáÌÏíÏå áäÙÇã ÇáÎÏãÉ ÇáÐÇÊíÉ ááÚãáÇÁ - ÊÍáíáí,الاصناف الجديده لنظام الخدمة الذاتية للعملاء - تحليلي,New varieties for customer self -service system - analytical
CSS_ITM_NEW_MST,ÇáÇÕäÇÝ ÇáÌÏíÏå áäÙÇã ÇáÎÏãÉ ÇáÐÇÊíÉ ááÚãáÇÁ - ÑÆíÓí,الاصناف الجديده لنظام الخدمة الذاتية للعملاء - رئيسي,New varieties for customer self -service system - major
CSTMR_FLD,,,
CSTMR_MNDTRY_FLD,,,
CST_PRINT_BARCODE_TMP,,,
CUSTOMER,,,
CUSTOMER2,,,
CUSTOMER_1,,,
CUSTOMER_BNK_ACCNT,,,
CUSTOMER_CLASS,ÃäæÇÚ ÇáÚãÜáÇÁ,أنواع العمـلاء,Types of curls
CUSTOMER_CLASS_TYP,ÊÕäíÝÇÊ ÇáÚãáÇÁ,تصنيفات العملاء,Customer classifications
CUSTOMER_COL_TMP,,,
CUSTOMER_CURR,,,
CUSTOMER_CURROLLL,,,
CUSTOMER_CURR_RQ,,,
CUSTOMER_CURR_TMP,,,
CUSTOMER_DEGREE,ÏÑÌÇÊ ÇáÚãÜáÇÁ,درجات العمـلاء,Glossary degrees
CUSTOMER_GROUP,ãÌãæÚÉ ÇáÚãÜáÇÁ,مجموعة العمـلاء,College Group
CUSTOMER_IBY,,,
CUSTOMER_RQ,ÈíÇäÇÊ ÇáÚãáÇÁ,بيانات العملاء,Customer data
CUSTOMER_SIGNS,ÊæÞíÚÇÊ ÇáÚãíá,توقيعات العميل,Customer signatures
CUSTOMER_TMP,,,
DAILY_ATTEN_JUSTIFICATIONS,,,
DATA_GRID_ORG_FLDS_TMP,,,
DATA_GRID_SCR_CNDTION,,,
DATA_GRID_SCR_FLTR,,,
DATA_GRID_SCR_PRV,,,
DATA_GRID_SCR_QRY,,,
DATA_GRID_SCR_TMPLT,,,
DATA_GRID_SCR_TMPLT_CELLS,,,
DATA_GRID_SCR_TMPLT_PRV,,,
DATE_LOCK,ÊæÞíÝ ÇáÝÊÑÇÊ,توقيف الفترات,Stopping periods
DATE_PICKER,,,
DDD,,,
DEBUG,,,
DEBUG_ACT,,,
DEBUG_JSON,,,
DEC4,,,
DEMO_CONSTRAINT_LOOKUP,,,
DEMO_CUSTOMERS,,,
DEMO_ORDERS,,,
DEMO_ORDER_ITEMS,,,
DEMO_PRODUCT_INFO,,,
DEMO_STATES,,,
DEMO_TAGS,,,
DEMO_TAGS_SUM,,,
DEMO_TAGS_TYPE_SUM,,,
DEPT,,,
DETAIL_GATE_GR,ÝæÇÑÞ ÇáÊäÒíá æÇáÊÍãíá - ÊÍáíáí,فوارق التنزيل والتحميل - تحليلي,Discounts of download and download - analytical
DETAIL_INV,ÇáÌÑÏ ÇáãÎÒäí - ÊÍáíáí,الجرد المخزني - تحليلي,Stored inventory - analysis
DETAIL_JOURNAL_V,ÞíæÏ ÇáíæãíÉ - ÊÍáíáí,قيود اليومية - تحليلي,Daily restrictions - analysis
DETAIL_JOURNAL_V_BR,ÞíæÏ ÇáíæãíÉ-ÊÝÕíáí,قيود اليومية-تفصيلي,Daily restrictions-detailed
DETAIL_OUT_BILLS,ÅÐä ÕÑÝ ÝÇÊæÑÉ ãÈíÚÇÊ - ÊÍáíáí,إذن صرف فاتورة مبيعات - تحليلي,Vergings of sales bill - analytical
DETAIL_OUT_BILLS_BR,,,
DETAIL_PERIODS,,,
DIC_CRD_OBJ,,,
DIFF_TST,,,
DISASSEMBLE_KIT_ITEMS,ÃãÑ ÊÝßíß ÕäÝ ãÑßÈ -ÑÆíÓí,أمر تفكيك صنف مركب -رئيسي,Dismantling of a compound -main class
DISASSEMBLE_KIT_ITEMS_DET,ÃãÑ ÊÝßíß ÕäÝ ãÑßÈ - ÊÍáíáí,أمر تفكيك صنف مركب - تحليلي,Class dismantling order - analytical
DIS_KIT_ITEMS_DETAIL,ÍÑßÉ ÊÝßíß ÇáÕäÝ ÇáãÑßÈ,حركة تفكيك الصنف المركب,The movement of the dismantling of the compound variety
DOC_JV,,,
DOC_JV1,,,
DOC_TYPE_AP,,,
DOC_TYPE_INV,,,
DRIVER_ID,,,
DR_INSTLMNT_PREV_YR_TMP,,,
DSDS,,,
DT,,,
DTS_AGENTS_DTL,ÈíÇäÇÊ æßáÇÁ ÇáÇÕäÇÝ ÇáãäÇÝÓÉ,بيانات وكلاء الاصناف المنافسة,Data of competing items
DTS_CHK_STP_TMP,,,
DTS_CMPNY_RIVAL_DTL,ÈíÇäÇÊ ÇáÔÑßÇÊ ÇáãäÊÌÉ ááÃÕäÇÝ ÇáãäÇÝÓÉ,بيانات الشركات المنتجة للأصناف المنافسة,Data of companies producing competing varieties
DTS_COLOR_CODEING,,,
DTS_CST_MAP,,,
DTS_CST_VST_DTL,ÒíÇÑÇÊ ÇáãäÏæÈ ááÚãáÇÁ - ÝÑÚí,زيارات المندوب للعملاء - فرعي,Visits of the delegate to customers - sub -
DTS_CST_VST_DTL_COPY,,,
DTS_CST_VST_MST,ÒíÇÑÇÊ ÇáãäÏæÈ ááÚãáÇÁ - ÑÆíÓí,زيارات المندوب للعملاء - رئيسي,Visits of the delegate to customers - major
DTS_CST_VST_MST_COPY,,,
DTS_CUSTOMER_TRGT,ÈíÇäÇÊ ÇáÚãáÇÁ ÇáãÓÊåÏÝíä,بيانات العملاء المستهدفين,Customer data targeted
DTS_DOC_TYP,,,
DTS_DOC_TYPE,,,
DTS_DOC_TYPE_SIGN,,,
DTS_EXPNS_DTL,,,
DTS_EXPNS_MST,,,
DTS_EXPNS_TYPE,,,
